,Count,Percentage
Front-end Dev,16,33.3
Full-stack Dev,8,16.7
Web Dev,3,6.2
Mobile Dev,7,14.6
Game Dev,9,18.8
UI,1,2.1
Network Engineer,1,2.1
Student,2,4.2
Other,1,2.1
